"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"CR-Sunday-NorthSide-Fall-17-H",0,0,0,0,0,0,1,20180415,20180617
"BUS22018-hbq28011-Weekday-02",1,1,1,1,1,0,0,20180411,20180622
"CR-Sunday-NorthSide-Fall-17-L",0,0,0,0,0,0,1,20180415,20180617
"RTL22018-hms28me7-Sunday-01",1,0,0,0,0,0,0,20180528,20180528
"CR-Sunday-SouthSide-Fall-17",0,0,0,0,0,0,1,20180415,20180617
"CR-Saturday-SouthSide-AprilMay-18-FRK",0,0,0,0,0,1,0,20180414,20180526
"BUS22018-hbq28016-Saturday-02",0,0,0,0,0,1,0,20180414,20180623
"CR-Weekday-NorthSide-Fall-17-RegOnly",1,1,1,1,1,0,0,20180411,20180622
"CR-Weekday-SouthSide-April16-W",1,0,0,0,0,0,0,20180416,20180416
"BUS22018-hbc28ns1-Weekday-02",1,1,1,1,1,0,0,20180416,20180420
"Boat-F1-WeekdaySummer",1,1,1,1,1,0,0,20180529,20180622
"BUS22018-htt28011-Weekday-02",1,1,1,1,1,0,0,20180411,20180622
"BUS22018-hbb28ns1-Weekday-02",1,1,1,1,1,0,0,20180416,20180420
"PRIV22018-hpa28016-Saturday-01",0,0,0,0,0,1,0,20180414,20180623
"RTL22018-hmo28016-Saturday-01",0,0,0,0,0,1,0,20180414,20180623
"BUS22018-hbs28ns1-Weekday-02",1,1,1,1,1,0,0,20180416,20180420
"PRIV22018-hpp28011-Weekday-01",1,1,1,1,1,0,0,20180411,20180622
"RTL22018-hmo28me7-Sunday-01",1,0,0,0,0,0,0,20180528,20180528
"BUS22018-hbs28011-Weekday-02-SL3",1,1,1,1,1,0,0,20180423,20180622
"Boat-F1-Saturday",0,0,0,0,0,1,0,20180526,20180623
"BUS22018-hbs28016-Saturday-02-SL3",0,0,0,0,0,1,0,20180421,20180623
"CR-Sunday-SouthSide-AprilMay-18-FRK",0,0,0,0,0,0,1,20180415,20180527
"LRV22018-hlb28me7-Sunday-01",1,0,0,0,0,0,0,20180528,20180528
"BUS22018-hba28ns1-Weekday-02",1,1,1,1,1,0,0,20180416,20180420
"LRV22018-hlm28bk1-Weekday-01",1,0,0,0,0,0,0,20180618,20180618
"RTL22018-hms28017-Sunday-01-L-M",0,0,0,0,0,0,1,20180422,20180429
"BUS22018-hbb28017-Sunday-02",0,0,0,0,0,0,1,20180415,20180617
"CR-Weekday-SouthSide-Fall-17-RegOnly-W",1,1,1,1,1,0,0,20180411,20180622
"RTL22018-hmb28me7-Sunday-01",1,0,0,0,0,0,0,20180528,20180528
"CR-Weekday-SouthSide-Fall-17-G2-RegReduced",1,1,1,1,1,0,0,20180411,20180622
"CR-Weekday-SouthSide-PTC-18-S",1,1,1,0,0,0,0,20180423,20180516
"CR-Weekday-NorthSide-Fall-17-ReducedOnly",0,0,0,0,0,0,0,20180411,20180623
