"service_id","date","exception_type"
"CR-Sunday-NorthSide-Fall-17-H",20180528,1
"BUS22018-hbq28011-Weekday-02",20180416,2
"BUS22018-hbq28011-Weekday-02",20180528,2
"BUS22018-hbq28011-Weekday-02",20180417,2
"BUS22018-hbq28011-Weekday-02",20180418,2
"BUS22018-hbq28011-Weekday-02",20180419,2
"BUS22018-hbq28011-Weekday-02",20180420,2
"CR-Sunday-NorthSide-Fall-17-L",20180422,2
"CR-Sunday-SouthSide-Fall-17",20180528,1
"CR-Weekday-NorthSide-Fall-17-RegOnly",20180528,2
"BUS22018-htt28011-Weekday-02",20180416,2
"BUS22018-htt28011-Weekday-02",20180528,2
"BUS22018-htt28011-Weekday-02",20180417,2
"BUS22018-htt28011-Weekday-02",20180418,2
"BUS22018-htt28011-Weekday-02",20180419,2
"BUS22018-htt28011-Weekday-02",20180420,2
"PRIV22018-hpp28011-Weekday-01",20180416,2
"PRIV22018-hpp28011-Weekday-01",20180528,2
"PRIV22018-hpp28011-Weekday-01",20180417,2
"PRIV22018-hpp28011-Weekday-01",20180418,2
"PRIV22018-hpp28011-Weekday-01",20180419,2
"PRIV22018-hpp28011-Weekday-01",20180420,2
"BUS22018-hbs28011-Weekday-02-SL3",20180528,2
"CR-Weekday-SouthSide-Fall-17-RegOnly-W",20180416,2
"Boat-F1-Weekend",20180528,1
"BUS22018-hbs28011-Weekday-02",20180416,2
"BUS22018-hbs28011-Weekday-02",20180528,2
"BUS22018-hbs28011-Weekday-02",20180417,2
"BUS22018-hbs28011-Weekday-02",20180418,2
"BUS22018-hbs28011-Weekday-02",20180419,2
"BUS22018-hbs28011-Weekday-02",20180420,2
"CR-Sunday-NorthSide-Fall-17",20180528,1
"BUS22018-hbb28011-Weekday-02",20180416,2
"BUS22018-hbb28011-Weekday-02",20180528,2
"BUS22018-hbb28011-Weekday-02",20180417,2
"BUS22018-hbb28011-Weekday-02",20180418,2
"BUS22018-hbb28011-Weekday-02",20180419,2
"BUS22018-hbb28011-Weekday-02",20180420,2
"CR-Weekday-SouthSide-Fall-17-RegReduced",20180528,2
"PRIV22018-hpj28011-Weekday-01",20180528,2
"BUS22018-hbl28011-Weekday-02",20180416,2
"BUS22018-hbl28011-Weekday-02",20180528,2
"BUS22018-hbl28011-Weekday-02",20180417,2
"BUS22018-hbl28011-Weekday-02",20180418,2
"BUS22018-hbl28011-Weekday-02",20180419,2
"BUS22018-hbl28011-Weekday-02",20180420,2
"CR-Sunday-SouthSide-Fall-17-FMT",20180528,1
"BUS22018-hba28011-Weekday-02",20180416,2
"BUS22018-hba28011-Weekday-02",20180528,2
"BUS22018-hba28011-Weekday-02",20180417,2
"BUS22018-hba28011-Weekday-02",20180418,2
"BUS22018-hba28011-Weekday-02",20180419,2
"BUS22018-hba28011-Weekday-02",20180420,2
