"facility_id","facility_code","facility_class","facility_type","stop_id","facility_short_name","facility_long_name","facility_desc","facility_lat","facility_lon","wheelchair_facility"
"pick-qnctr-busway","",3,"pick-drop","place-qnctr","Hancock Street","Quincy Center Hancock Street Pick-up/Drop-off","","42.251716","-71.004715",1
"pick-mlmnl-commercial","",3,"pick-drop","place-mlmnl","Commercial Street","Malden Center Commercial Street Pick-up/Drop-off","","42.426233","-71.073879",1
"pick-brntn-main","",3,"pick-drop","place-brntn","Busway","Braintree Busway Pick-up/Drop-off","","42.207209","-71.001154",1
"pick-jfk-morrissey","",3,"pick-drop","place-jfk","Morrissey Boulevard","JFK/UMass Morrissey Boulevard Pick-up/Drop-off","","42.320588","-71.051454",1
"pick-forhl-washington","",3,"pick-drop","place-forhl","Washington Street","Forest Hills Washington Street Pick-up/Drop-off","","42.299439","-71.114871",1
"pick-sstat-atlantic","",3,"pick-drop","place-sstat","Atlantic Avenue","South Station Atlantic Avenue Pick-up/Drop-off","","42.351021","-71.056168",1
"pick-rugg-forsyth","",3,"pick-drop","place-rugg","Forsyth St","Ruggles Forsyth St Pick-up/Drop-off","","42.337066","-71.08944",1
"pick-asmnl-main","",3,"pick-drop","place-asmnl","Busway","Ashmont Busway Pick-up/Drop-off","","42.28408","-71.064131",2
"pick-asmnl-accessible","",3,"pick-drop","place-asmnl","Accessible","Ashmont Accessible Pick-up/Drop-off","","42.285205","-71.064353",1
"pick-sull-maffa","",3,"pick-drop","place-sull","Maffa Way","Sullivan Square Maffa Way Pick-up/Drop-off","","42.384932","-71.075811",1
"pick-sdmnl-walley","",3,"pick-drop","place-sdmnl","Walley Street","Suffolk Downs Walley Street Pick-up/Drop-off","","42.390457","-70.997813",1
"pick-orhte-bennington","",3,"pick-drop","place-orhte","Bennington St","Orient Heights Bennington St Pick-up/Drop-off","","42.387105","-71.004864",1
"pick-ogmnl-wash","",3,"pick-drop","place-ogmnl","Washington Street","Oak Grove Washington Street Pick-up/Drop-off","","42.436513","-71.071296",1
"pick-ogmnl-banks","",3,"pick-drop","place-ogmnl","Banks Place","Oak Grove Banks Place Pick-up/Drop-off","","42.436937","-71.070105",1
"pick-nqncy-squantum","",3,"pick-drop","place-nqncy","West Squantum Street","North Quincy West Squantum Street Pick-up/Drop-off","","42.275342","-71.028621",1
"pick-nqncy-hancock","",3,"pick-drop","place-nqncy","Hancock Street","North Quincy Hancock Street Pick-up/Drop-off","","42.276721","-71.030662",1
"pick-welln-lot","",3,"pick-drop","place-welln","Lot","Wellington Lot Pick-up/Drop-off","","42.402687","-71.075818",0
"pick-jaksn-main","",3,"pick-drop","place-jaksn","Centre Street","Jackson Square Centre Street Pick-up/Drop-off","","42.322858","-71.100196",1
"pick-qamnl-garage","",3,"pick-drop","place-qamnl","Garage","Quincy Adams Garage Pick-up/Drop-off","","42.23275","-71.007361",1
"pick-alfcl-garage","",3,"pick-drop","place-alfcl","Garage","Alewife Garage Pick-up/Drop-off","","42.395598","-71.141842",1
"pick-woodl-main","",3,"pick-drop","place-woodl","","Woodland Pick-up/Drop-off","","42.333082","-71.243526",2
"pick-woodl-accessible","",3,"pick-drop","place-woodl","Accessible","Woodland Accessible Pick-up/Drop-off","","42.33283","-71.243024",1
"pick-river-main","",3,"pick-drop","place-river","","Riverside Pick-up/Drop-off","","42.337034","42.337034",1
"park-001","",3,"parking-area","Abington","Parking Lot","Abington Parking Lot","","","",0
"park-002","",3,"parking-area","place-alfcl","Garage","Alewife Garage","","42.395669","-71.141853",0
"ev-002","",6,"electric-car-chargers","place-alfcl","EV Chargers","Alewife Garage EV Chargers","","","",0
"park-003","",3,"parking-area","Anderson/ Woburn","Parking Lot","Anderson/Woburn Parking Lot","","","",0
"park-004","",3,"parking-area","Andover","Parking Lot","Andover Parking Lot","","","",0
"park-005","",3,"parking-area","Ashland ","Parking Lot","Ashland Parking Lot","","","",0
"park-006","",3,"parking-area","Attleboro","Parking Lot","Attleboro Parking Lot","","","",0
"park-007","",3,"parking-area","Auburndale","Parking Lot","Auburndale Parking Lot","","","",0
"park-008","",3,"parking-area","Ayer","Parking Lot","Ayer Parking Lot","","","",0
"park-009","",3,"parking-area","Ballardvale","Parking Lot","Ballardvale Parking Lot","","","",0
"park-010","",3,"parking-area","place-bmmnl","Winthrop Avenue Parking Lot","Beachmont Winthrop Avenue Parking Lot","","42.398796","-70.992967",0
"park-011","",3,"parking-area","Bellevue","Parking Lot","Bellevue Parking Lot","","","",0
"park-012","",3,"parking-area","Belmont","Royal Road Parking Lot","Belmont Royal Road Parking Lot","","","",0
"park-013","",3,"parking-area","Belmont","Claflin Street Parking Lot","Belmont Claflin Street Parking Lot","","","",0
"park-014","",3,"parking-area","Beverly","Garage","Beverly Garage","","","",0
