"facility_id","property_id","value"
"park-001","enclosed",2
"park-001","attended",2
"park-001","capacity",405
"park-001","capacity-accessible",9
"park-001","operator","Republic Parking System"
"park-001","owner","MBTA"
"park-001","contact","MBTA Customer Support"
"park-001","contact-url","http://www.parkmbta.com/"
"park-001","contact-phone","617-222-3200"
"park-001","address","231 Centre Ave, Abington, MA 02351"
"park-001","municipality","Abington"
"park-001","payment-form-accepted","invoice"
"park-001","payment-form-accepted","mobile-app"
"park-001","payment-app","PayByPhone"
"park-001","payment-app-url","https://www.paybyphone.com/"
"park-001","payment-app-id","4401"
"park-001","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-001","fee-monthly","$70"
"park-001","weekday-typical-utilization",327
"park-001","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-002","enclosed",1
"park-002","attended",1
"park-002","capacity",2627
"park-002","capacity-accessible",31
"park-002","operator","Republic Parking System"
"park-002","owner","MBTA"
"park-002","contact","MBTA Customer Support"
"park-002","contact-url","http://www.parkmbta.com/"
"park-002","contact-phone","617-222-3200"
"park-002","address","Alewife Brook Pkwy and Cambridge Park Dr, Cambridge, MA 02140"
"park-002","municipality","Cambridge"
"park-002","payment-form-accepted","cash"
"park-002","payment-form-accepted","credit-debit-card"
"park-002","payment-form-accepted","smartcard"
"park-002","fee-daily","$7 for first 14 hours, $15 for 14-24 hours"
"park-002","weekday-utilization-summary","No data"
"ev-002","capacity",6
"park-003","enclosed",2
"park-003","attended",2
"park-003","capacity",2000
"park-003","capacity-accessible",24
"park-003","operator","Massport"
"park-003","owner","Local transit authority"
"park-003","contact","Massport Logan Express"
"park-003","contact-url","http://www.massport.com/"
"park-003","contact-phone","781-721-9487"
"park-003","address","100 Atlantic Ave, Woburn, MA 01801"
"park-003","municipality","Woburn"
"park-003","payment-form-accepted","credit-debit-card"
"park-003","fee-daily","$7"
"park-003","note","Massport is responsible for parking maintenance, payments, and snow removal. Overnight parking is available."
"park-004","enclosed",2
"park-004","attended",2
"park-004","capacity",150
"park-004","capacity-accessible",4
"park-004","operator","Republic Parking System"
"park-004","owner","MBTA"
"park-004","contact","MBTA Customer Support"
"park-004","contact-url","http://www.parkmbta.com/"
"park-004","contact-phone","617-222-3200"
"park-004","address","17 Railroad St, Andover, MA 01810"
"park-004","municipality","Andover"
"park-004","payment-form-accepted","invoice"
"park-004","payment-form-accepted","mobile-app"
"park-004","payment-app","PayByPhone"
"park-004","payment-app-url","https://www.paybyphone.com/"
"park-004","payment-app-id","4229"
"park-004","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-004","fee-monthly","$70"
"park-004","weekday-typical-utilization",132
"park-004","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-005","enclosed",2
"park-005","attended",2
"park-005","capacity",678
"park-005","capacity-accessible",16
"park-005","operator","Republic Parking System"
"park-005","owner","MBTA"
"park-005","contact","MBTA Customer Support"
"park-005","contact-url","http://www.parkmbta.com/"
"park-005","contact-phone","617-222-3200"
"park-005","address","Pleasant St and Cordaville Rd, Ashland, MA 01721"
"park-005","municipality","Ashland"
"park-005","payment-form-accepted","invoice"
"park-005","payment-form-accepted","mobile-app"
"park-005","payment-app","PayByPhone"
"park-005","payment-app-url","https://www.paybyphone.com/"
"park-005","payment-app-id","4281"
"park-005","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-005","fee-monthly","$70"
"park-005","weekday-typical-utilization",482
"park-005","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-006","enclosed",2
"park-006","attended",2
"park-006","capacity",780
"park-006","capacity-accessible",16
"park-006","operator","Greater Attleboro/Taunton Regional Transit Authority"
"park-006","owner","Local transit authority"
"park-006","contact","SP Plus Corporation"
"park-006","contact-url","http://www.gatra.org/index.php/special-services/parking-passes/"
"park-006","contact-phone","401-274-5586"
"park-006","address","133 S Main St, Attleboro, MA 02703"
"park-006","municipality","Attleboro"
"park-006","payment-form-accepted","mobile-app"
"park-006","payment-app","Parkmobile"
"park-006","payment-app-url","https://parkmobile.io/"
"park-006","payment-app-id","881"
"park-006","fee-daily","$4"
"park-006","fee-monthly","$70"
"park-006","note","Greater Attleboro/Taunton RTA is responsible for parking maintenance, payments, and snow removal."
"park-007","enclosed",2
"park-007","attended",2
"park-007","capacity",33
"park-007","capacity-accessible",2
"park-007","operator","Republic Parking System"
"park-007","owner","MassDOT"
"park-007","contact","MBTA Customer Support"
"park-007","contact-url","http://www.parkmbta.com/"
"park-007","contact-phone","617-222-3200"
"park-007","address","Auburn St and Woodland Rd, Newton, MA 02466"
"park-007","municipality","Newton"
"park-007","payment-form-accepted","invoice"
"park-007","payment-form-accepted","mobile-app"
"park-007","payment-app","PayByPhone"
"park-007","payment-app-url","https://www.paybyphone.com/"
"park-007","payment-app-id","4249"
"park-007","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-007","fee-monthly","$70"
"park-007","weekday-typical-utilization",31
"park-007","weekday-utilization-summary","Arrive before a certain time"
"park-007","weekday-arrive-before","07:30:00"
"park-008","enclosed",2
"park-008","attended",2
"park-008","capacity",90
"park-008","operator","Town of Ayer"
"park-008","owner","City/Town"
"park-008","contact","Ayer Town Hall"
"park-008","contact-url","https://www.ayer.ma.us/edc/railroads/pages/ayer-commuter-rail-station-commuter-parking"
"park-008","contact-phone","978-772-8220"
"park-008","address","70 Main St, Ayer, MA 01432"
"park-008","municipality","Ayer"
"park-008","fee-daily","free"
"park-008","weekday-utilization-summary","Arrive before a certain time"
"park-008","weekday-arrive-before","06:30:00"
"park-008","note","Town of Ayer is responsible for parking maintenance, payments, and snow removal."
"park-009","enclosed",2
"park-009","attended",2
"park-009","capacity",115
"park-009","capacity-accessible",2
"park-009","operator","Republic Parking System"
"park-009","owner","MBTA"
"park-009","contact","MBTA Customer Support"
"park-009","contact-url","http://www.parkmbta.com/"
"park-009","contact-phone","617-222-3200"
"park-009","address","195 Andover St, Andover, MA 01810"
"park-009","municipality","Andover"
"park-009","payment-form-accepted","invoice"
"park-009","payment-form-accepted","mobile-app"
"park-009","payment-app","PayByPhone"
"park-009","payment-app-url","https://www.paybyphone.com/"
"park-009","payment-app-id","4231"
"park-009","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-009","fee-monthly","$70"
"park-009","weekday-typical-utilization",94
"park-009","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-010","enclosed",2
"park-010","attended",2
"park-010","capacity",424
"park-010","capacity-accessible",6
"park-010","operator","Republic Parking System"
"park-010","owner","MBTA"
"park-010","contact","MBTA Customer Support"
"park-010","contact-url","http://www.parkmbta.com/"
"park-010","contact-phone","617-222-3200"
"park-010","address","630 Winthrop Ave, Revere, MA 02151"
"park-010","municipality","Revere"
"park-010","payment-form-accepted","invoice"
"park-010","payment-form-accepted","mobile-app"
"park-010","payment-app","PayByPhone"
"park-010","payment-app-url","https://www.paybyphone.com/"
"park-010","payment-app-id","4384"
"park-010","fee-daily","$5 PayByPhone, $5.50 invoice"
"park-010","fee-monthly","$105"
"park-010","weekday-typical-utilization",268
"park-010","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-011","enclosed",2
"park-011","attended",2
"park-011","capacity",37
"park-011","capacity-accessible",2
"park-011","operator","Republic Parking System"
"park-011","owner","MBTA"
